epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,77.3312,1.52432,1.11102,2.60801,1.76273,0,0.00389,0.97917,0.20346,0.06847,0.00389,0.97917,0.2119,0.07763,1.9122,0.84844,3.17025,2.65691,0,0.00032381,0.00032381,0.0679429
2,162.039,1.40509,0.45885,2.09587,1.63773,0,0.73986,0.31189,0.41401,0.19637,0.7518,0.30301,0.4018,0.17204,1.68743,2.40436,2.047,2.18105,0,0.000624614,0.000624614,0.0349103
3,253.072,1.44649,0.50124,1.87138,1.64586,0,0.78127,0.70153,0.81671,0.45958,0.78127,0.70153,0.79548,0.44585,1.48986,1.3023,1.53581,2.00687,0,0.000892419,0.000892419,0.0018448
4,335.748,1.35826,0.36027,1.72601,1.62044,0,0.69228,0.63102,0.7784,0.39075,0.69228,0.63102,0.76674,0.38903,1.64092,0.78132,2.91208,2.21407,0,0.0008515,0.0008515,0.0008515
5,416.203,1.39575,0.38044,1.69413,1.61659,0,0.4589,0.80807,0.7701,0.42791,0.45386,0.78723,0.76149,0.41329,1.25201,1.02512,4.09114,1.84338,0,0.000802,0.000802,0.000802
6,506.569,1.34402,0.46269,1.59005,1.60483,0,0.79675,0.72925,0.81927,0.4761,0.79675,0.72925,0.81957,0.46826,1.39924,0.43079,2.13584,1.8667,0,0.0007525,0.0007525,0.0007525
7,583.507,1.36657,0.362,1.49416,1.57684,0,0.714,0.70639,0.85574,0.47423,0.714,0.70639,0.85596,0.47621,1.28799,0.5078,1.75459,1.80345,0,0.000703,0.000703,0.000703
8,665.7,1.36728,0.35261,1.42567,1.56831,0,0.84516,0.83782,0.91945,0.55016,0.84516,0.83782,0.91948,0.54818,1.66826,0.23707,1.28126,2.04079,0,0.0006535,0.0006535,0.0006535
9,744.151,1.34383,0.31971,1.45709,1.55882,0,0.94163,0.78245,0.92818,0.55932,0.94163,0.78245,0.92818,0.5412,1.39413,0.85774,1.29278,1.7628,0,0.000604,0.000604,0.000604
10,817.564,1.27775,0.30106,1.31159,1.50755,0,0.97797,0.94049,0.97641,0.60774,0.97797,0.94049,0.97641,0.59975,1.45919,0.10962,1.09884,1.80576,0,0.0005545,0.0005545,0.0005545
11,888.107,1.30111,0.37644,1.65715,1.71179,0,0.9273,0.88269,0.92748,0.49872,0.9273,0.88269,0.92748,0.50412,1.72031,0.03862,1.23605,2.2513,0,0.000505,0.000505,0.000505
12,958.85,1.16985,0.28176,1.47835,1.67082,0,0.86964,0.93243,0.96155,0.63948,0.86964,0.93243,0.96299,0.63114,1.35131,0.08593,1.18093,1.78023,0,0.0004555,0.0004555,0.0004555
13,1030,1.10448,0.2966,1.3151,1.57963,0,0.81098,0.85977,0.90486,0.56492,0.81098,0.85977,0.90486,0.56199,1.42474,0.03477,1.27014,1.89171,0,0.000406,0.000406,0.000406
14,1099.93,1.07439,0.26803,1.27804,1.53098,0,0.88029,0.93601,0.92292,0.65295,0.88029,0.93601,0.92343,0.64168,1.33765,0.03256,1.15413,1.76907,0,0.0003565,0.0003565,0.0003565
15,1173.04,1.09619,0.32596,1.18922,1.56849,0,0.94214,0.93444,0.95115,0.69035,0.96361,0.95527,0.97167,0.68838,1.26689,0.06544,1.15716,1.68604,0,0.000307,0.000307,0.000307
16,1249.61,1.02818,0.26599,1.15697,1.49897,0,0.90958,0.87384,0.94417,0.66777,0.90958,0.87384,0.9446,0.66556,1.30957,0.05789,1.11785,1.74316,0,0.0002575,0.0002575,0.0002575
17,1323.9,0.99884,0.20627,1.16589,1.48934,0,0.8987,0.92816,0.94536,0.67836,0.8987,0.92816,0.94536,0.67993,1.26759,0.02349,1.03633,1.68127,0,0.000208,0.000208,0.000208
18,1393.94,1.0118,0.22861,1.05639,1.4465,0,0.9292,0.90584,0.95839,0.70871,0.95263,0.92657,0.96962,0.69563,1.23615,0.02121,0.96311,1.64066,0,0.0001585,0.0001585,0.0001585
19,1466.83,1.00663,0.21618,1.03886,1.47697,0,0.93385,0.90458,0.95877,0.69429,0.95698,0.92541,0.96962,0.68555,1.26583,0.02078,0.96301,1.67503,0,0.000109,0.000109,0.000109
20,1543.21,0.99001,0.19676,1.02003,1.47487,0,0.93135,0.90046,0.95011,0.68173,0.95483,0.9213,0.96045,0.68035,1.2646,0.0231,0.93181,1.68004,0,5.95e-05,5.95e-05,5.95e-05
