epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,85.6883,1.54533,1.12242,2.63141,1.7766,0,0.00384,0.95833,0.24997,0.07773,0.00384,0.95833,0.2562,0.08467,2.09179,2.22639,3.32959,2.82655,0,0.00032381,0.00032381,0.0679429
2,203.613,1.41015,0.46938,2.10789,1.64581,0,0.49282,0.60003,0.594,0.27891,0.39738,0.42162,0.39405,0.14719,1.51765,4.2168,2.07631,2.13393,0,0.000624614,0.000624614,0.0349103
3,295.544,1.42685,0.50936,1.8723,1.62966,0,0.62574,0.77373,0.75769,0.42329,0.64763,0.80634,0.78217,0.42016,1.29731,0.80131,1.61166,1.85539,0,0.000892419,0.000892419,0.0018448
4,378.797,1.39629,0.36155,1.7643,1.62788,0,0.86217,0.64192,0.82833,0.47091,0.8576,0.65058,0.85618,0.46482,1.54966,0.40307,3.43017,2.16828,0,0.0008515,0.0008515,0.0008515
5,461.916,1.39333,0.375,1.66151,1.62642,0,0.69114,0.77819,0.81216,0.44036,0.69114,0.77819,0.81062,0.44286,1.34298,0.38239,1.84345,1.86936,0,0.000802,0.000802,0.000802
6,549.004,1.38953,0.5128,1.63518,1.61295,0,0.96087,0.77031,0.89722,0.57511,0.96087,0.77031,0.89722,0.566,1.37474,0.47099,1.49004,1.77578,0,0.0007525,0.0007525,0.0007525
7,637.33,1.34036,0.35946,1.55302,1.57778,0,0.75707,0.85798,0.88525,0.60954,0.76837,0.87805,0.90179,0.59438,1.20997,0.93557,1.58622,1.6701,0,0.000703,0.000703,0.000703
8,720.922,1.35735,0.37104,1.47824,1.57196,0,0.80778,0.77789,0.91841,0.62572,0.80778,0.77789,0.91841,0.6134,1.35668,0.59247,1.22764,1.74125,0,0.0006535,0.0006535,0.0006535
9,801.955,1.32373,0.34229,1.46318,1.55966,0,0.7966,0.8375,0.93027,0.55589,0.7966,0.8375,0.93027,0.54905,1.51994,0.19388,1.56614,1.8999,0,0.000604,0.000604,0.000604
10,878.967,1.2815,0.29826,1.33062,1.51146,0,0.86214,0.86713,0.91678,0.61642,0.86214,0.86713,0.91678,0.60154,1.31538,0.04067,1.29318,1.7639,0,0.0005545,0.0005545,0.0005545
11,952.406,1.24671,0.39648,1.65053,1.66877,0,0.80026,0.86591,0.91384,0.51113,0.80026,0.86591,0.91384,0.51204,1.60541,0.03759,1.39818,1.9714,0,0.000505,0.000505,0.000505
12,1025.62,1.1971,0.27658,1.52933,1.67412,0,0.9132,0.92462,0.95388,0.65192,0.9132,0.92462,0.95388,0.65663,1.30737,0.17492,1.1768,1.67666,0,0.0004555,0.0004555,0.0004555
13,1102.39,1.12012,0.31097,1.32391,1.6111,0,0.87915,0.9456,0.94057,0.64949,0.87915,0.9456,0.94057,0.63482,1.28306,0.13007,1.23494,1.73734,0,0.000406,0.000406,0.000406
14,1181.61,1.12044,0.28738,1.28616,1.55814,0,0.91147,0.93011,0.93649,0.66758,0.9323,0.95078,0.95595,0.6589,1.26617,0.12473,1.12173,1.67213,0,0.0003565,0.0003565,0.0003565
15,1258.07,1.10698,0.35927,1.2072,1.5673,0,0.92397,0.9644,0.96809,0.68825,0.92397,0.9644,0.96809,0.6778,1.21564,0.17925,1.12404,1.62329,0,0.000307,0.000307,0.000307
16,1337.91,1.03151,0.25679,1.15934,1.49758,0,0.98937,0.90977,0.94949,0.67245,0.98858,0.91041,0.96861,0.66102,1.3407,0.08928,1.10186,1.70141,0,0.0002575,0.0002575,0.0002575
17,1414.39,1.02287,0.22959,1.18896,1.49976,0,0.94587,0.97917,0.97278,0.69215,0.94587,0.97917,0.97278,0.68078,1.24502,0.0551,0.98941,1.64168,0,0.000208,0.000208,0.000208
18,1480.94,1.03053,0.23783,1.07489,1.49405,0,0.97015,0.97917,0.97297,0.71231,0.97015,0.97917,0.97297,0.6904,1.21245,0.04976,0.93642,1.63177,0,0.0001585,0.0001585,0.0001585
19,1544.31,1.01876,0.23116,1.05931,1.49363,0,0.96875,0.97917,0.97163,0.71656,0.96875,0.97917,0.97163,0.70358,1.24845,0.04364,0.93025,1.65508,0,0.000109,0.000109,0.000109
20,1608.05,0.99165,0.23395,1.00973,1.4843,0,0.96557,0.97862,0.97163,0.72089,0.96557,0.97862,0.97163,0.70986,1.25532,0.05083,0.91766,1.64387,0,5.95e-05,5.95e-05,5.95e-05
