epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,67.6099,1.66139,3.02019,3.23149,1.94987,0,0.00369,0.97917,0.14601,0.0725,0.00369,0.97917,0.14976,0.07222,1.27426,0.13799,3.65435,1.85728,0,0.000161905,0.000161905,0.067781
2,134.146,1.53547,0.70996,3.14518,1.82624,0,0.00375,1,0.14158,0.06546,0.00375,1,0.14158,0.06417,1.21956,0.0761,3.61488,1.8327,0,0.000322066,0.000322066,0.0346078
3,200.782,1.34651,0.56435,3.05324,1.66317,0,0.00357,0.97917,0.18262,0.09465,0.00369,1,0.19298,0.09304,1.27218,0.06242,3.51998,1.82142,0,0.000475627,0.000475627,0.00142801
4,267.021,1.29623,0.51191,3.0256,1.64118,0,0.00357,1,0.26504,0.13243,0.00357,1,0.26504,0.13333,1.29849,0.06631,3.48713,1.87463,0,0.0004703,0.0004703,0.0004703
5,333.243,1.28523,0.50646,2.94318,1.61791,0,0.00358,1,0.36606,0.20292,0.00358,1,0.38881,0.20797,1.34528,0.08268,3.27728,1.89154,0,0.0004604,0.0004604,0.0004604
6,398.577,1.29165,0.57035,2.88146,1.6359,0,0.64188,0.31481,0.40408,0.2396,0.64188,0.31481,0.40408,0.24059,1.40438,0.08552,3.0076,1.94754,0,0.0004505,0.0004505,0.0004505
7,463.653,1.26616,0.41576,2.74753,1.57191,0,0.65782,0.46497,0.41689,0.24315,0.65782,0.46497,0.41689,0.25617,1.42464,0.07632,2.70551,1.88645,0,0.0004406,0.0004406,0.0004406
8,817.97,1.26562,0.42671,2.65369,1.57033,0,0.68525,0.43519,0.46053,0.2943,0.68525,0.43519,0.46053,0.28953,1.34687,0.10588,2.46338,1.74942,0,0.0004307,0.0004307,0.0004307
9,880.39,1.24358,0.38715,2.57689,1.54363,0,0.34671,0.76667,0.52332,0.3395,0.34671,0.76667,0.52332,0.34293,1.22067,0.14883,2.39335,1.65227,0,0.0004208,0.0004208,0.0004208
10,1218.01,1.21831,0.32985,2.44116,1.51565,0,0.42354,0.59401,0.57527,0.38223,0.42354,0.59401,0.57527,0.39056,1.27474,0.09335,2.3699,1.68268,0,0.0004109,0.0004109,0.0004109
11,1283.83,1.22879,0.25132,2.3575,1.52187,0,0.43946,0.54167,0.62662,0.41251,0.43813,0.54346,0.64373,0.41303,1.28067,0.07265,2.37756,1.69876,0,0.000401,0.000401,0.000401
12,1331.83,1.21013,0.27358,2.30893,1.50918,0,0.33666,0.7375,0.6119,0.40458,0.34993,0.75833,0.63117,0.4107,1.3366,0.0597,2.42079,1.73158,0,0.0003911,0.0003911,0.0003911
13,1379.37,1.22995,0.35953,2.24018,1.51767,0,0.43202,0.71667,0.64273,0.41531,0.43202,0.71667,0.64273,0.4203,1.34564,0.04865,2.37413,1.73183,0,0.0003812,0.0003812,0.0003812
14,1425.5,1.2048,0.38744,2.20726,1.48623,0,0.48377,0.87917,0.68795,0.44763,0.48377,0.87917,0.68795,0.45277,1.27823,0.06622,2.33453,1.68475,0,0.0003713,0.0003713,0.0003713
15,1471.01,1.21536,0.38236,2.19161,1.48216,0,0.53636,0.80906,0.70785,0.45571,0.53636,0.80906,0.70785,0.46184,1.25454,0.07255,2.25498,1.67569,0,0.0003614,0.0003614,0.0003614
16,1516.68,1.22033,0.39134,2.12212,1.48274,0,0.58342,0.70926,0.7363,0.48806,0.58441,0.70926,0.73338,0.49311,1.28466,0.08664,2.25484,1.69532,0,0.0003515,0.0003515,0.0003515
17,1562.22,1.24197,0.41827,2.08024,1.49036,0,0.72084,0.75107,0.80147,0.53506,0.72084,0.75107,0.79778,0.53793,1.28848,0.1105,2.22879,1.69795,0,0.0003416,0.0003416,0.0003416
18,1607.95,1.17977,0.2513,2.0482,1.46519,0,0.65488,0.78426,0.82536,0.56301,0.65488,0.78426,0.82536,0.55574,1.17694,0.10072,2.05325,1.58785,0,0.0003317,0.0003317,0.0003317
19,1653.96,1.13857,0.29116,1.9418,1.41829,0,0.72177,0.82936,0.83147,0.55362,0.70686,0.79419,0.81634,0.55335,1.19326,0.07502,2.04501,1.59541,0,0.0003218,0.0003218,0.0003218
20,1700.08,1.19482,0.30855,2.02295,1.45938,0,0.74045,0.84482,0.86737,0.58313,0.77063,0.78218,0.85778,0.58692,1.1651,0.0782,1.99196,1.58525,0,0.0003119,0.0003119,0.0003119
21,1746.76,1.1632,0.33787,1.91065,1.41912,0,0.73492,0.78566,0.87343,0.58765,0.73492,0.78566,0.87343,0.5857,1.18043,0.07907,1.99409,1.62575,0,0.000302,0.000302,0.000302
22,1793.15,1.16434,0.32031,1.92172,1.4477,0,0.88406,0.74943,0.87314,0.59098,0.88406,0.74943,0.87314,0.5925,1.18724,0.07165,1.93389,1.62535,0,0.0002921,0.0002921,0.0002921
23,1839.27,1.16544,0.33219,1.87669,1.42551,0,0.71968,0.87546,0.87213,0.58044,0.71968,0.87546,0.87213,0.58245,1.17461,0.0747,1.95811,1.62613,0,0.0002822,0.0002822,0.0002822
24,1886.36,1.17658,0.39103,1.85686,1.44985,0,0.7051,0.92514,0.89083,0.59838,0.7051,0.92514,0.89083,0.59373,1.16382,0.08869,1.88654,1.63247,0,0.0002723,0.0002723,0.0002723
25,1932.87,1.15384,0.39285,1.83319,1.42848,0,0.8475,0.81529,0.92167,0.62588,0.8475,0.81529,0.92167,0.62079,1.18017,0.0788,1.93687,1.6414,0,0.0002624,0.0002624,0.0002624
26,1981.83,1.1743,0.22945,1.82313,1.45427,0,0.90959,0.85355,0.95751,0.66284,0.90959,0.85355,0.95751,0.67274,1.20833,0.06957,1.93099,1.64865,0,0.0002525,0.0002525,0.0002525
27,2027.58,1.15715,0.34378,1.7649,1.42508,0,0.95721,0.87015,0.9577,0.65755,0.95721,0.87015,0.9577,0.64785,1.18801,0.06754,1.79896,1.63649,0,0.0002426,0.0002426,0.0002426
28,2072.94,1.09568,0.31956,1.71382,1.38841,0,0.93975,0.9305,0.96085,0.66982,0.93975,0.9305,0.96085,0.66823,1.17306,0.06694,1.74268,1.62171,0,0.0002327,0.0002327,0.0002327
29,2118.84,1.15892,0.24381,1.71461,1.45161,0,0.93988,0.9409,0.95761,0.66232,0.93988,0.9409,0.95761,0.66531,1.16598,0.06469,1.67297,1.61712,0,0.0002228,0.0002228,0.0002228
30,2164.98,1.10118,0.29928,1.64806,1.38244,0,0.95133,0.93993,0.96049,0.65605,0.95133,0.93993,0.96049,0.65312,1.17027,0.06126,1.68064,1.64076,0,0.0002129,0.0002129,0.0002129
31,2224.35,1.1165,0.2994,1.65403,1.38058,0,0.96531,0.94284,0.97366,0.6691,0.96531,0.94284,0.97366,0.66223,1.15635,0.06494,1.62679,1.6487,0,0.000203,0.000203,0.000203
32,2270.02,1.12701,0.24691,1.63961,1.39596,0,0.98243,0.94583,0.97206,0.666,0.98243,0.94583,0.97206,0.65285,1.12298,0.06711,1.57949,1.63099,0,0.0001931,0.0001931,0.0001931
33,2315.52,1.08769,0.2787,1.60889,1.38111,0,0.97727,0.9363,0.97582,0.66744,0.97727,0.9363,0.97582,0.66005,1.10417,0.06905,1.58097,1.61403,0,0.0001832,0.0001832,0.0001832
34,2361.73,1.09581,0.28825,1.61887,1.3813,0,0.96317,0.92935,0.96931,0.66884,0.96317,0.92935,0.97774,0.66229,1.10757,0.07988,1.57704,1.624,0,0.0001733,0.0001733,0.0001733
35,2407.41,1.14536,0.25462,1.64821,1.41282,0,0.95771,0.93016,0.97161,0.66702,0.95771,0.93016,0.97542,0.66166,1.09221,0.07575,1.56623,1.61752,0,0.0001634,0.0001634,0.0001634
36,2453.18,1.09124,0.3307,1.64943,1.3833,0,0.92186,0.94583,0.97312,0.67434,0.92186,0.94583,0.97312,0.66974,1.07407,0.08131,1.63412,1.58738,0,0.0001535,0.0001535,0.0001535
37,2499.08,1.11103,0.24224,1.60712,1.3809,0,0.96076,0.94583,0.97312,0.67569,0.96076,0.94583,0.97312,0.67501,1.07894,0.07954,1.57526,1.58571,0,0.0001436,0.0001436,0.0001436
38,2544.62,1.09749,0.24076,1.61485,1.38279,0,0.97274,0.93312,0.97473,0.67876,0.97274,0.93312,0.97473,0.68458,1.09045,0.07396,1.53068,1.59657,0,0.0001337,0.0001337,0.0001337
39,2590.07,1.10859,0.33684,1.61901,1.38454,0,0.97339,0.94583,0.97641,0.68666,0.97339,0.94583,0.97641,0.68117,1.10084,0.06697,1.58136,1.61401,0,0.0001238,0.0001238,0.0001238
40,2635.36,1.10768,0.25752,1.62781,1.42062,0,0.96625,0.94583,0.98002,0.68665,0.96625,0.94583,0.98002,0.68874,1.1325,0.06914,1.51047,1.62344,0,0.0001139,0.0001139,0.0001139
41,2678.52,1.05921,0.25199,2.21974,1.54862,0,0.93709,0.9257,0.96286,0.68313,0.93709,0.9257,0.96579,0.68545,1.11625,0.06614,1.61167,1.59278,0,0.000104,0.000104,0.000104
42,2721.79,1.03487,0.28806,2.21625,1.50699,0,0.94721,0.8706,0.96299,0.69117,0.94721,0.8706,0.96553,0.68091,1.12065,0.06347,1.55438,1.59641,0,9.41e-05,9.41e-05,9.41e-05
43,2764.99,1.03959,0.2563,2.15817,1.48601,0,0.93393,0.8686,0.96231,0.67756,0.93393,0.8686,0.96513,0.67047,1.14016,0.06601,1.70955,1.6017,0,8.42e-05,8.42e-05,8.42e-05
44,2813.23,1.0081,0.24743,2.16141,1.46281,0,0.98103,0.83589,0.96656,0.6718,0.98103,0.83589,0.96656,0.66105,1.14736,0.05299,1.72932,1.61103,0,7.43e-05,7.43e-05,7.43e-05
45,2859.74,1.02103,0.22945,2.14257,1.48584,0,0.89608,0.9125,0.96386,0.67101,0.89608,0.9125,0.96885,0.67196,1.1483,0.04512,1.72038,1.60806,0,6.44e-05,6.44e-05,6.44e-05
46,2903.09,1.02972,0.2232,2.12847,1.47765,0,0.92632,0.92546,0.96874,0.67973,0.92632,0.92546,0.97613,0.67432,1.1497,0.04189,1.71333,1.61194,0,5.45e-05,5.45e-05,5.45e-05
47,2946.64,1.00735,0.26139,2.09043,1.54289,0,0.91747,0.9125,0.97103,0.67342,0.91747,0.9125,0.97103,0.68188,1.13714,0.04039,1.63869,1.59676,0,4.46e-05,4.46e-05,4.46e-05
48,2989.92,1.01865,0.25991,2.05881,1.48803,0,0.92216,0.92518,0.97509,0.68111,0.92216,0.92518,0.97509,0.68685,1.13605,0.03923,1.6505,1.59097,0,3.47e-05,3.47e-05,3.47e-05
49,3033.24,0.99884,0.2251,2.09854,1.44364,0,0.92453,0.928,0.97613,0.68601,0.92453,0.928,0.97613,0.69532,1.13953,0.04121,1.66293,1.59632,0,2.48e-05,2.48e-05,2.48e-05
50,3076.65,1.00795,0.22657,2.06656,1.43777,0,0.91682,0.92615,0.97827,0.68871,0.91682,0.92615,0.97827,0.70356,1.12824,0.03919,1.65699,1.59615,0,1.49e-05,1.49e-05,1.49e-05
