epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,164.328,1.58988,1.21694,2.21741,1.80625,0,0.97322,0.20833,0.4714,0.2497,0.97322,0.20833,0.4714,0.24543,1.406,0.00142,3.40739,1.86899,0,0.000161905,0.000161905,0.067781
2,274.623,1.37887,0.4526,1.78185,1.64488,0,0.6155,0.76092,0.80146,0.43854,0.61643,0.75995,0.79386,0.40434,1.35226,0.84674,2.05298,1.86615,0,0.000322066,0.000322066,0.0346078
3,367.467,1.32291,0.45348,1.4525,1.54072,0,0.87184,0.84151,0.93088,0.54102,0.87184,0.84151,0.93115,0.53801,1.29625,1.40135,2.24783,1.87366,0,0.000475627,0.000475627,0.00142801
4,491.055,1.36525,0.34278,1.39411,1.59399,0,0.96947,0.86747,0.93878,0.58782,0.84201,0.92476,0.93411,0.59217,1.40414,0.82856,1.28701,1.89376,0,0.0004703,0.0004703,0.0004703
5,602.949,1.35983,0.34812,1.26668,1.58165,0,0.80607,0.89583,0.94082,0.57271,0.80607,0.89583,0.94082,0.56155,1.4078,0.04687,1.08038,1.95308,0,0.0004604,0.0004604,0.0004604
6,702.089,1.34913,0.46358,1.25063,1.56876,0,0.93673,0.86734,0.94651,0.63309,0.84658,0.96831,0.96854,0.6432,1.3948,0.03947,0.86293,1.80088,0,0.0004505,0.0004505,0.0004505
7,837.725,1.35163,0.31693,1.22975,1.55832,0,0.92801,0.84676,0.93501,0.54055,0.92801,0.84676,0.93501,0.54486,1.53523,0.02131,1.27351,1.91466,0,0.0004406,0.0004406,0.0004406
8,929.213,1.33759,0.31574,1.17613,1.54711,0,0.85787,0.9375,0.92393,0.64043,0.85787,0.9375,0.93959,0.63985,1.41291,0.03404,0.84609,1.81275,0,0.0004307,0.0004307,0.0004307
9,1022.8,1.33501,0.30573,1.16536,1.54004,0,0.98298,0.9375,0.96826,0.64084,0.98298,0.9375,0.98557,0.6508,1.09678,0.0302,0.98535,1.57292,0,0.0004208,0.0004208,0.0004208
10,1125.67,1.26672,0.26876,1.06947,1.5116,0,0.95931,0.91125,0.95616,0.60532,0.95931,0.91125,0.95616,0.60711,1.29949,0.02793,0.91769,1.73437,0,0.0004109,0.0004109,0.0004109
